"id","kural_motoru","kural_dosyasi_adi","islenen_kayit_sayisi","calisma_suresi_ms","ram_kullanimi_mb","cpu_kullanimi_yuzde","kural_dosyasi_boyutu_byte","kayit_tarihi"
1,Drools,rules_25.drl,50000,1852,189,29.91,3633,19.05.2025 09:42:12.643
2,Drools,rules_25.drl,50000,768,274,18.79,3633,19.05.2025 09:42:14.740
3,Drools,rules_25.drl,50000,657,287,17.59,3633,19.05.2025 09:42:15.692
4,Drools,rules_25.drl,50000,674,268,16.95,3633,19.05.2025 09:42:16.535
5,Drools,rules_25.drl,50000,669,315,15.28,3633,19.05.2025 09:42:17.375
6,Drools,rules_25.drl,50000,648,356,13.46,3633,19.05.2025 09:42:18.191
7,Drools,rules_25.drl,50000,722,171,15.32,3633,19.05.2025 09:42:19.022
8,Drools,rules_25.drl,50000,973,288,11.02,3633,19.05.2025 09:42:19.989
9,Drools,rules_25.drl,50000,696,455,12.02,3633,19.05.2025 09:42:21.182
10,Drools,rules_25.drl,50000,652,377,14.62,3633,19.05.2025 09:42:22.053
11,Drools,rules_25.drl,50000,667,353,13.43,3633,19.05.2025 09:42:22.914
12,Drools,rules_25.drl,50000,658,366,13.27,3633,19.05.2025 09:42:23.733
13,Drools,rules_25.drl,50000,660,445,12.77,3633,19.05.2025 09:42:24.581
14,Drools,rules_25.drl,50000,1015,516,12.91,3633,19.05.2025 09:42:25.423
15,Drools,rules_25.drl,50000,689,397,14.51,3633,19.05.2025 09:42:26.704
16,Drools,rules_25.drl,50000,699,714,13.15,3633,19.05.2025 09:42:27.533
17,Drools,rules_25.drl,50000,721,504,12.01,3633,19.05.2025 09:42:28.488
18,Drools,rules_25.drl,50000,675,631,13.15,3633,19.05.2025 09:42:29.363
19,Drools,rules_25.drl,50000,660,730,13.08,3633,19.05.2025 09:42:30.232
20,Drools,rules_25.drl,50000,837,660,12.03,3633,19.05.2025 09:42:31.065
21,Drools,rules_25.drl,50000,851,739,12.89,3633,19.05.2025 09:42:32.308
22,Drools,rules_25.drl,50000,681,790,15.84,3633,19.05.2025 09:42:33.369
23,Drools,rules_25.drl,50000,679,945,15.17,3633,19.05.2025 09:42:34.219
24,Drools,rules_25.drl,50000,638,844,13.89,3633,19.05.2025 09:42:35.065
25,Drools,rules_25.drl,50000,637,903,14.24,3633,19.05.2025 09:42:35.909
26,Drools,rules_25.drl,50000,713,1047,15.29,3633,19.05.2025 09:42:36.711
27,Drools,rules_25.drl,50000,642,986,15.35,3633,19.05.2025 09:42:37.629
28,Drools,rules_25.drl,50000,668,1049,14.04,3633,19.05.2025 09:42:38.446
29,Drools,rules_25.drl,50000,886,1133,13.53,3633,19.05.2025 09:42:39.414
30,Drools,rules_25.drl,50000,668,1162,15.78,3633,19.05.2025 09:42:40.506
31,Drools,rules_25.drl,50000,671,1279,15.60,3633,19.05.2025 09:42:41.351
32,Drools,rules_25.drl,50000,677,1341,16.21,3633,19.05.2025 09:42:42.222
33,Drools,rules_25.drl,50000,679,1387,15.18,3633,19.05.2025 09:42:43.078
34,Drools,rules_25.drl,50000,669,1460,16.84,3633,19.05.2025 09:42:43.945
35,Drools,rules_25.drl,50000,1145,230,12.77,3633,19.05.2025 09:42:44.805
36,Drools,rules_25.drl,50000,766,311,14.01,3633,19.05.2025 09:42:46.197
37,Drools,rules_25.drl,50000,810,199,12.43,3633,19.05.2025 09:42:47.104
38,Drools,rules_25.drl,50000,694,583,11.20,3633,19.05.2025 09:42:48.098
39,Drools,rules_25.drl,50000,765,492,12.63,3633,19.05.2025 09:42:48.993
40,Drools,rules_25.drl,50000,669,429,12.32,3633,19.05.2025 09:42:49.988
41,Drools,rules_25.drl,50000,647,315,13.26,3633,19.05.2025 09:42:50.811
42,Drools,rules_25.drl,50000,1062,700,9.82,3633,19.05.2025 09:42:51.622
43,Drools,rules_25.drl,50000,815,586,12.65,3633,19.05.2025 09:42:52.889
44,Drools,rules_25.drl,50000,645,600,14.89,3633,19.05.2025 09:42:53.919
45,Drools,rules_25.drl,50000,726,676,13.30,3633,19.05.2025 09:42:54.732
46,Drools,rules_25.drl,50000,667,370,13.69,3633,19.05.2025 09:42:55.677
47,Drools,rules_25.drl,50000,658,492,13.06,3633,19.05.2025 09:42:56.488
48,Drools,rules_25.drl,50000,661,652,12.83,3633,19.05.2025 09:42:57.301
49,Drools,rules_25.drl,50000,707,574,14.82,3633,19.05.2025 09:42:58.184
50,Drools,rules_25.drl,50000,920,522,11.32,3633,19.05.2025 09:42:59.077
51,Drools,rules_25.drl,50000,708,503,12.37,3633,19.05.2025 09:43:00.204
52,Drools,rules_25.drl,50000,641,552,13.24,3633,19.05.2025 09:43:01.053
53,Drools,rules_25.drl,50000,691,681,12.68,3633,19.05.2025 09:43:01.844
54,Drools,rules_25.drl,50000,665,650,15.20,3633,19.05.2025 09:43:02.713
55,Drools,rules_25.drl,50000,654,676,13.75,3633,19.05.2025 09:43:03.523
56,Drools,rules_25.drl,50000,655,800,13.16,3633,19.05.2025 09:43:04.332
57,Drools,rules_25.drl,50000,869,722,11.80,3633,19.05.2025 09:43:05.152
58,Drools,rules_25.drl,50000,744,170,15.72,3633,19.05.2025 09:43:06.305
59,Drools,rules_25.drl,50000,636,408,13.65,3633,19.05.2025 09:43:07.223
60,Drools,rules_25.drl,50000,631,423,13.49,3633,19.05.2025 09:43:08.014
61,Drools,rules_25.drl,50000,717,303,14.01,3633,19.05.2025 09:43:08.814
62,Drools,rules_25.drl,50000,637,359,13.18,3633,19.05.2025 09:43:09.691
63,Drools,rules_25.drl,50000,652,463,13.70,3633,19.05.2025 09:43:10.471
64,Drools,rules_25.drl,50000,681,538,14.45,3633,19.05.2025 09:43:11.285
65,Drools,rules_25.drl,50000,922,546,12.12,3633,19.05.2025 09:43:12.202
66,Drools,rules_25.drl,50000,675,564,13.54,3633,19.05.2025 09:43:13.278
67,Drools,rules_25.drl,50000,653,647,13.05,3633,19.05.2025 09:43:14.091
68,Drools,rules_25.drl,50000,666,667,13.94,3633,19.05.2025 09:43:14.920
69,Drools,rules_25.drl,50000,641,709,14.45,3633,19.05.2025 09:43:15.756
70,Drools,rules_25.drl,50000,636,648,13.83,3633,19.05.2025 09:43:16.562
71,Drools,rules_25.drl,50000,888,697,12.06,3633,19.05.2025 09:43:17.347
72,Drools,rules_25.drl,50000,744,299,16.36,3633,19.05.2025 09:43:18.469
73,Drools,rules_25.drl,50000,654,337,17.19,3633,19.05.2025 09:43:19.378
74,Drools,rules_25.drl,50000,673,400,13.48,3633,19.05.2025 09:43:20.188
75,Drools,rules_25.drl,50000,651,163,16.85,3633,19.05.2025 09:43:20.993
76,Drools,rules_25.drl,50000,647,301,13.61,3633,19.05.2025 09:43:21.782
77,Drools,rules_25.drl,50000,652,330,15.21,3633,19.05.2025 09:43:22.596
78,Drools,rules_25.drl,50000,1047,237,12.04,3633,19.05.2025 09:43:23.392
79,Drools,rules_25.drl,50000,630,145,12.69,3633,19.05.2025 09:43:24.587
80,Drools,rules_25.drl,50000,640,557,11.98,3633,19.05.2025 09:43:25.376
81,Drools,rules_25.drl,50000,642,477,13.23,3633,19.05.2025 09:43:26.163
82,Drools,rules_25.drl,50000,647,431,13.90,3633,19.05.2025 09:43:26.957
83,Drools,rules_25.drl,50000,622,337,13.02,3633,19.05.2025 09:43:27.735
84,Drools,rules_25.drl,50000,618,246,12.85,3633,19.05.2025 09:43:28.496
85,Drools,rules_25.drl,50000,634,152,12.62,3633,19.05.2025 09:43:29.252
86,Drools,rules_25.drl,50000,861,564,10.78,3633,19.05.2025 09:43:30.091
87,Drools,rules_25.drl,50000,641,490,13.53,3633,19.05.2025 09:43:31.140
88,Drools,rules_25.drl,50000,654,430,13.43,3633,19.05.2025 09:43:31.942
89,Drools,rules_25.drl,50000,670,337,12.10,3633,19.05.2025 09:43:32.761
90,Drools,rules_25.drl,50000,639,246,13.13,3633,19.05.2025 09:43:33.573
91,Drools,rules_25.drl,50000,619,658,12.28,3633,19.05.2025 09:43:34.352
92,Drools,rules_25.drl,50000,615,559,12.85,3633,19.05.2025 09:43:35.113
93,Drools,rules_25.drl,50000,663,516,13.98,3633,19.05.2025 09:43:35.893
94,Drools,rules_25.drl,50000,825,502,11.26,3633,19.05.2025 09:43:36.749
95,Drools,rules_25.drl,50000,632,440,12.31,3633,19.05.2025 09:43:37.761
96,Drools,rules_25.drl,50000,643,360,12.79,3633,19.05.2025 09:43:38.540
